pos1,pos2,nbreak_per_haploid_genome,chrom,rilname
11623116,11623116,2,I,QG3272
10318484,10590128,2,I,QG3273
12048179,12055945,2,I,QG3273
526031,526067,2,I,QG3274
1754132,1756334,2,I,QG3274
11309803,11330895,2,I,QG3274
12096090,12128799,2,I,QG3274
12183258,12296756,2,I,QG3274
837768,850260,2,I,QG3275
12039131,12054924,2,I,QG3275
1401871,1401963,2,I,QG3276
9958277,9958778,2,I,QG3276
10209224,10215404,2,I,QG3276
11950746,12041241,2,I,QG3276
1434604,1503162,2,I,QG3277
10234193,10294911,2,I,QG3277
10787237,10823208,2,I,QG3277
397385,405842,2,I,QG3278
1282112,1282112,2,I,QG3278
2833151,2833183,2,I,QG3278
8806170,8815976,2,I,QG3278
9820920,9822367,2,I,QG3278
11950746,12041241,2,I,QG3278
12039131,12054924,2,I,QG3278
12183258,12296756,1,I,QG3278
1916464,1924866,2,I,QG3280
3334388,3390010,2,I,QG3280
12039131,12041241,2,I,QG3280
2402766,2520225,2,I,QG3281
10874827,10874827,2,I,QG3281
12296822,12314877,2,I,QG3281
2706836,2754019,2,I,QG3282
2832305,2921441,2,I,QG3283
11173972,11174289,2,I,QG3283
1055773,1061096,2,I,QG3284
2392064,2392103,2,I,QG3284
10290108,10312988,2,I,QG3285
11172238,11187930,2,I,QG3285
363477,397226,2,I,QG3289
2669398,2828607,2,I,QG3289
9727668,9789291,2,I,QG3289
12076236,12085394,2,I,QG3289
1902774,1903025,2,I,QG3290
2088704,2088704,2,I,QG3290
9283468,9338833,2,I,QG3290
11131342,11819693,2,I,QG3290
11927082,11927478,2,I,QG3290
12183258,12296756,2,I,QG3290
2402766,2520225,2,I,QG3294
10234193,10294911,2,I,QG3294
11279483,11279483,2,I,QG3294
11662638,11662638,2,I,QG3294
3499078,3499105,2,I,QG3295
10477289,10577998,2,I,QG3295
11331526,11344448,2,I,QG3295
1081321,1082266,2,I,QG3296
1218279,1218279,2,I,QG3296
12039131,12054924,2,I,QG3296
1246145,1282101,2,I,QG3297
1362457,1362457,2,I,QG3297
11878013,11950513,2,I,QG3297
12554555,12554555,2,I,QG3297
2922060,2927778,2,I,QG3298
3644114,3863818,2,I,QG3298
11212331,11235677,2,I,QG3298
4378553,4379200,2,I,QG3300
482788,483830,2,I,QG3301
11466576,11466597,2,I,QG3301
11747841,11762690,2,I,QG3301
11884360,11885429,2,I,QG3301
11971721,12041006,2,I,QG3301
11827997,11828565,2,I,QG3302
729949,729949,2,I,QG3304
12056667,12071194,2,I,QG3304
1434604,1503162,2,I,QG3305
9106814,9135196,2,I,QG3305
2039347,2039347,2,I,QG3306
2469840,2469840,2,I,QG3306
11391270,11540995,2,I,QG3306
9990356,9990356,2,I,QG3307
10700354,10713486,2,I,QG3307
1179889,1179889,2,I,QG3308
2402766,2520225,2,I,QG3308
10234193,10282774,2,I,QG3308
10907760,10909429,2,I,QG3308
11701776,11702200,2,I,QG3308
12056667,12071194,2,I,QG3308
8333947,8382780,2,I,QG3309
9910498,9910498,2,I,QG3309
10726535,10917594,2,I,QG3309
11135643,11136794,2,I,QG3309
11212331,11218941,2,I,QG3309
12076236,12085394,2,I,QG3309
446881,446881,2,I,QG3310
1071059,1079379,2,I,QG3310
2402766,2520225,2,I,QG3310
2706836,2754019,2,I,QG3310
546325,546353,2,I,QG3312
1091659,1096355,2,I,QG3312
9958151,9958277,2,I,QG3312
2166892,2265269,2,I,QG3314
692150,719766,2,I,QG3317
1105572,1107726,2,I,QG3317
2152456,2152456,2,I,QG3317
11022191,11022191,2,I,QG3317
11131342,11819693,2,I,QG3317
12092587,12092669,2,I,QG3317
2669398,2828607,2,I,QG3319
11171283,11182472,2,I,QG3319
11562874,11562979,2,I,QG3319
12039131,12041006,2,I,QG3319
11131342,11819693,2,I,QG3320
692150,719766,2,I,QG3321
726276,735934,2,I,QG3321
2139993,2530798,2,I,QG3321
8048876,11131313,2,I,QG3321
11700248,11701619,2,I,QG3321
1263955,1263955,2,I,QG3322
2133203,2582198,2,I,QG3322
11156382,11156382,2,I,QG3322
484066,499332,1,I,QG3324
501204,511275,1,I,QG3324
11131342,11819693,2,I,QG3324
12357327,12357327,2,I,QG3324
2139993,2276898,2,I,QG3327
9911455,9922981,2,I,QG3327
10766665,10775924,2,I,QG3327
11131342,11819693,2,I,QG3327
11950746,12262108,2,I,QG3327
183563,185845,2,I,QG3331
9941794,9941810,2,I,QG3331
11059045,11062322,2,I,QG3331
11131342,11819693,2,I,QG3331
1053937,1828979,2,I,QG3333
2139993,2276898,2,I,QG3333
10820448,10820856,2,I,QG3333
10918438,10921747,2,I,QG3333
10993745,10994059,2,I,QG3333
12184650,12184695,2,I,QG3333
880037,1022769,2,I,QG3334
1434604,1561738,2,I,QG3334
3502536,3502536,2,I,QG3335
10753823,10753823,2,I,QG3335
12616149,12616444,2,I,QG3335
2139993,2276898,2,I,QG3336
11950746,12262108,2,I,QG3336
1053592,1828979,2,I,QG3337
10807597,10807606,2,I,QG3337
11418951,11418963,2,I,QG3337
11930278,11971721,2,I,QG3337
11950746,12262108,2,I,QG3337
2139993,2276898,2,I,QG3342
11950746,12262108,2,I,QG3342
2139993,2276898,2,I,QG3344
10593172,10594643,2,I,QG3344
2139993,2276898,2,I,QG3346
8048876,11131313,2,I,QG3346
557676,581993,2,I,QG3347
8048876,11131313,1,I,QG3347
11621770,11668623,1,I,QG3347
11930278,12041006,1,I,QG3347
8550168,8550222,2,I,QG3349
9913417,9913474,2,I,QG3349
10726535,10917594,2,I,QG3349
11771023,11774847,2,I,QG3349
11950746,12041241,2,I,QG3349
12074698,12085953,2,I,QG3349
12538529,12538820,2,I,QG3351
11790211,11790211,2,I,QG3352
12039131,12054924,2,I,QG3352
9684740,9727298,2,I,QG3354
12056667,12071194,2,I,QG3355
582116,652486,2,I,QG3357
10234193,10294911,2,I,QG3357
11578490,11660086,2,I,QG3357
11721542,11721545,2,I,QG3357
11927478,12041006,2,I,QG3357
1314401,1368025,2,I,QG3358
12833364,12833516,2,I,QG3358
444898,444898,2,I,QG3362
10962845,10963022,2,I,QG3362
11082255,11094486,2,I,QG3362
11878013,11950513,2,I,QG3362
11927478,12041006,2,I,QG3362
1583157,1590481,2,I,QG3363
8383946,8389086,2,I,QG3363
8919853,8932425,1,I,QG3363
8939147,8955805,1,I,QG3363
9111723,9111723,1,I,QG3363
9111998,9111998,1,I,QG3363
10922245,11041992,2,I,QG3363
444487,483830,2,I,QG3364
582116,652486,1,I,QG3364
710893,710893,1,I,QG3364
11800523,11819693,2,I,QG3364
13122744,13122752,2,I,QG3364
1823295,1823295,2,I,QG3366
11068809,11068811,2,I,QG3366
363477,366318,2,I,QG3367
12039131,12041241,2,I,QG3367
11878013,11950513,2,I,QG3370
785842,786971,2,I,QG3371
2324193,2324239,2,I,QG3371
3292467,3293397,2,I,QG3371
8842929,8957142,1,I,QG3371
10726535,10917594,1,I,QG3371
11950746,12041006,2,I,QG3371
683371,683371,2,I,QG3372
837768,850260,2,I,QG3372
912767,937014,2,I,QG3372
1007167,1009564,2,I,QG3372
9905235,9905329,2,I,QG3372
11083493,11090884,2,I,QG3372
11927478,12041006,2,I,QG3372
1479434,1479434,2,I,QG3373
1434604,1503162,2,I,QG3374
1779521,1779521,2,I,QG3374
2152456,2152456,2,I,QG3374
11950746,12041006,2,I,QG3377
726276,735934,2,I,QG3380
3091642,3190769,2,I,QG3380
10908605,10909477,2,I,QG3380
11131342,11819693,2,I,QG3380
12073433,12085953,2,I,QG3380
815525,858784,2,I,QG3381
11131342,11819693,2,I,QG3381
11950746,11971721,2,I,QG3381
