"chrom" "gpos" "ppos"
"175" "II" 17.4967401843512 2475256
"176" "II" 18.0308399767586 2522349
"177" "II" 18.5649397691661 2605790
"178" "II" 19.0990395615735 2642170
"179" "II" 19.6331393539809 2704566
"180" "II" 20.1672391463883 3088873
"181" "II" 20.7013389387957 3559364
"182" "II" 21.2354387312032 3611977
"183" "II" 21.7695385236105 3756850
"184" "II" 22.3036383160179 4634936
"185" "II" 22.8377381084253 4676836
"186" "II" 23.3718379008327 4723310
"187" "II" 23.9059376932402 4965235
"188" "II" 24.4400374856476 9518666
"189" "II" 24.974137278055 9818937
"190" "II" 25.508237070444 10770049
"191" "II" 26.0423371857352 10804772
"192" "II" 26.5707673013981 11058592
"193" "II" 28.2206496838004 11272783
"194" "II" 28.7490797994635 11311792
"195" "II" 29.2831799147546 11363055
"196" "II" 29.8172797071436 11421656
"197" "II" 30.3513794987618 11489496
"198" "II" 30.8854931472341 11611475
"199" "II" 31.4195497688212 11709972
"200" "II" 31.419549817953 11729735
"201" "II" 31.9536065189111 11762433
"202" "II" 32.4863265335801 11897263
"203" "II" 33.2933130096021 11994745
"204" "II" 34.0974555310706 12016127
"205" "II" 35.1817751719039 12038925
"206" "II" 35.7130721050994 12064903
"207" "II" 36.247172057146 12099833
"208" "II" 36.7812718495442 12282323
"209" "II" 37.3153716419333 12397715
"210" "II" 37.8494717571953 12498940
"211" "II" 38.3779023849286 12545436
"212" "II" 40.0249158382288 12697780
"213" "II" 41.1020745737442 12763384
"214" "II" 42.1849691045373 12838806
"215" "II" 42.7162663632907 12893152
"216" "II" 43.2475632919752 12954666
"217" "II" 44.3332926913407 13012661
"218" "II" 44.861786437296 13030237
"219" "II" 45.9475158893632 13068314
"220" "II" 46.4778980894214 13101504
"221" "II" 47.1873169199911 13162676
"222" "II" 48.6493269724595 13188144
"223" "II" 49.1787071366181 13244958
"224" "II" 49.7128211196769 13312526
"225" "II" 50 13770276
"372" "III" 0 11147
"373" "III" 0.26978861258404 176682
"374" "III" 1.29983839909457 330934
"375" "III" 1.80389528128632 498675
"376" "III" 2.31055745619612 537938
"377" "III" 2.31055750280768 650212
"378" "III" 2.81721952626686 780061
"379" "III" 3.32393580094228 844870
"380" "III" 3.82801334242775 914547
"381" "III" 4.85392903355315 931711
"382" "III" 4.8539290801647 940940
"383" "III" 5.36185245175431 1167436
"384" "III" 5.86856210074306 1233337
"385" "III" 6.37526508018208 1311384
"386" "III" 6.88196821146886 1357785
"387" "III" 7.38601194986775 1452917
"388" "III" 8.41604868351224 1492545
"389" "III" 8.91471357345098 1583854
"390" "III" 10.4799648882972 1630461
"391" "III" 10.9812890191593 1756052
"392" "III" 11.4879923053082 1868553
"393" "III" 11.9946952843695 2004035
"394" "III" 12.5014114095107 2124343
"395" "III" 13.0080734329785 2315135
"396" "III" 13.0080734795901 2331791
"397" "III" 13.5147355030579 2405214
"398" "III" 14.0214516274503 2460277
"399" "III" 14.5281677519131 2550025
"400" "III" 15.0348297615642 2925241
"401" "III" 15.0348298081758 7426934
"402" "III" 15.5414918316406 8260950
"403" "III" 16.0482079560298 8519809
"404" "III" 16.5549240804892 8629336
"405" "III" 17.0615860901403 8673662
"406" "III" 17.0615861367518 8692931
"407" "III" 17.5682484665063 8765667
"408" "III" 18.0695857427078 8914762
"409" "III" 19.6348369017669 9130689
"410" "III" 20.1361610319079 9200358
"411" "III" 20.6428774648865 9304617
"412" "III" 21.1495126085366 9355570
"413" "III" 21.1495126551481 9454139
"414" "III" 22.7089808216314 9562423
"415" "III" 23.2103471255827 9632199
"416" "III" 23.7170504093304 9687053
"417" "III" 24.2237533891406 9720517
"418" "III" 24.7304563689681 9805774
"419" "III" 25.2371593487957 9872240
"420" "III" 25.7438623278921 9892948
"421" "III" 26.250578140763 10038564
"422" "III" 26.7573016151704 10094597
"423" "III" 26.7573016617819 10128884
"424" "III" 27.2640251373083 10322983
"425" "III" 27.7707409501648 10549422
"426" "III" 28.2774440807206 10583928
"427" "III" 28.7814878191378 10816532
"428" "III" 29.8115243961413 10845639
"429" "III" 30.3129088934291 10879885
"430" "III" 31.3429454634645 10926529
"431" "III" 31.8469893533742 10954631
"432" "III" 32.3510332432688 11021627
"433" "III" 33.3810696504422 11048313
"434" "III" 33.8854017688101 11100385
"435" "III" 34.3353525751879 11109729
"436" "III" 34.8399662730019 11219149
"437" "III" 35.8119302965161 11370345
"438" "III" 36.3162697435919 11459200
"439" "III" 36.8120411442904 11488567
"440" "III" 39.4725489966238 11542675
"441" "III" 39.4725490432354 11556810
"442" "III" 41.0263922782007 11582825
"443" "III" 41.0263923248123 11609349
"444" "III" 41.5276499260922 11664785
"445" "III" 43.0901926142086 11729401
"446" "III" 44.1134508083958 11810595
"447" "III" 44.8763452208674 11913168
"448" "III" 45.6419370785748 11949185
"449" "III" 46.1473179114721 11971554
"450" "III" 46.6540209664298 12016909
"451" "III" 47.1607270338482 12068734
"452" "III" 47.6615038206188 12096290
"453" "III" 49.2267565309114 12140692
"454" "III" 49.7280965174483 12166557
"455" "III" 50 12291722
"226" "IV" 0 175765
"227" "IV" 0.321542161877595 258073
"228" "IV" 0.919567313201685 469201
"229" "IV" 1.51757687121552 511809
"230" "IV" 2.11558660887953 532030
"231" "IV" 2.71045773791166 655267
"232" "IV" 3.92610408692756 696350
"233" "IV" 4.52097521595968 758562
"234" "IV" 5.11898495362364 865416
"235" "IV" 5.71699451252564 1070580
"236" "IV" 6.31500407143782 1098513
"237" "IV" 6.91301363033981 1202020
"238" "IV" 7.51102336800378 1219740
"239" "IV" 8.1058944970359 1375743
"240" "IV" 9.3215408460518 1429218
"241" "IV" 9.9164119750806 1465550
"242" "IV" 10.514421771099 1501225
"243" "IV" 11.1114073193497 1611615
"244" "IV" 11.9057142107557 1672234
"245" "IV" 13.5426667042121 1697642
"246" "IV" 14.1353922491595 1812926
"247" "IV" 14.7271025962059 1860159
"248" "IV" 16.5678154611359 2156407
"249" "IV" 16.5678155161467 2198309
"250" "IV" 17.1628293863278 2224203
"251" "IV" 18.3784902859427 2264936
"252" "IV" 18.9733614132806 2435830
"253" "IV" 19.5713711509345 2618706
"254" "IV" 20.1693808885883 2668583
"255" "IV" 20.7642520176204 2704224
"256" "IV" 21.9798983666363 2745657
"257" "IV" 22.5747694956684 2837979
"258" "IV" 23.1727792333324 2879829
"259" "IV" 23.7707887922344 3119316
"260" "IV" 24.3687983511465 3200397
"261" "IV" 24.9668079100587 3227916
"262" "IV" 25.5648174689709 3258374
"263" "IV" 26.1628270278831 3591124
"264" "IV" 26.7608365867957 3906421
"265" "IV" 27.358846145626 4133364
"266" "IV" 27.9568557045385 8702465
"267" "IV" 28.5548652634507 9206024
"268" "IV" 29.1528748223629 9787601
"269" "IV" 29.7508843803914 10108510
"270" "IV" 30.3489094533696 10345384
"271" "IV" 30.9468706753443 10409481
"272" "IV" 30.9468707303551 10558866
"273" "IV" 31.5457678409076 10589437
"274" "IV" 31.9564878632817 10600408
"275" "IV" 33.174162184621 10628356
"276" "IV" 33.5225247434895 10690532
"277" "IV" 34.119284425675 10833687
"278" "IV" 35.2068652046202 10892820
"279" "IV" 35.8026901631817 11040064
"280" "IV" 36.3381238832691 11237179
"281" "IV" 36.9364657878679 11619510
"282" "IV" 37.5346177024592 11631169
"283" "IV" 37.53461775747 11655322
"284" "IV" 39.3721681790596 11803468
"285" "IV" 40.5814420456252 11876322
"286" "IV" 41.1763140754064 11949328
"287" "IV" 41.7715336866778 11997212
"288" "IV" 42.91863457476 12235443
"289" "IV" 43.5141787730007 12287793
"290" "IV" 44.0388613403078 12314089
"291" "IV" 45.8833028855983 12646206
"292" "IV" 47.0899862444418 12755631
"293" "IV" 48.1761360420019 12863097
"294" "IV" 49.4000158306338 12935611
"295" "IV" 49.9999999449892 12970489
"296" "IV" 50 13239814
"77" "V" 0 161320
"78" "V" 0.2761540788448 584609
"79" "V" 1.33050713732006 818075
"80" "V" 1.84644346805312 971725
"81" "V" 2.3642137614001 1005076
"82" "V" 3.05312220575296 1044843
"83" "V" 4.47286362814308 1068312
"84" "V" 4.98693871723919 1108459
"85" "V" 5.50559724424296 1131657
"86" "V" 6.0242555102135 1321087
"87" "V" 6.54291377619891 1443893
"88" "V" 7.06157204218433 1494076
"89" "V" 7.58023030816972 1545467
"90" "V" 8.0988885741463 1625441
"91" "V" 8.6175469951249 1643289
"92" "V" 9.13348397212667 1695495
"93" "V" 10.1818507948338 1774702
"94" "V" 11.8566179646725 1811705
"95" "V" 12.982424419593 1843899
"96" "V" 13.4979679012125 1943861
"97" "V" 14.0166263446 2083999
"98" "V" 14.5352846105753 2245987
"99" "V" 15.0539428765607 2461852
"100" "V" 15.5726011425461 2492198
"101" "V" 16.0912594085315 2533371
"102" "V" 16.6099176745169 3515040
"103" "V" 17.1285759405023 4208454
"104" "V" 17.6472342064877 4333168
"105" "V" 18.1658924724732 5306736
"106" "V" 18.6845507384586 5504278
"107" "V" 19.2032090044439 5971999
"108" "V" 19.7218672704293 6148468
"109" "V" 20.2405255364147 9981181
"110" "V" 20.7591838024001 10911141
"111" "V" 21.2778420683856 11000139
"112" "V" 21.796500334371 11672747
"113" "V" 22.3151586003293 11707724
"114" "V" 22.8338173419434 11942388
"115" "V" 23.3441228185481 12214647
"116" "V" 25.5039119603369 12277258
"117" "V" 26.5498144105357 12308758
"118" "V" 27.0658236473094 12485079
"119" "V" 27.0658236950208 12523964
"120" "V" 28.1174089480899 12567794
"121" "V" 28.6333723468034 12612504
"122" "V" 29.1528411558117 12673396
"123" "V" 29.5120160277698 12710612
"124" "V" 30.0322567545894 12775104
"125" "V" 30.3914316265561 12816472
"126" "V" 30.9109002820698 12846192
"127" "V" 31.4295586569577 12883982
"128" "V" 31.9454952592256 12926625
"129" "V" 32.9970815554657 13027105
"130" "V" 34.0459141203277 13086458
"131" "V" 35.0975004165589 13209736
"132" "V" 35.6134371738391 13286687
"133" "V" 36.1293739311571 13353459
"134" "V" 37.1809599031412 13418755
"135" "V" 38.2325458751254 13460111
"136" "V" 38.7484826324434 13558092
"137" "V" 39.2644193897235 13726860
"138" "V" 40.3160056859166 13853657
"139" "V" 41.3648385750255 13933125
"140" "V" 42.4136714641161 14029890
"141" "V" 43.465257917113 14220225
"142" "V" 43.9784728559117 14266282
"143" "V" 45.0300589847001 14289359
"144" "V" 46.0816449566657 14308099
"145" "V" 46.5975817140019 14342911
"146" "V" 47.1135181507539 14368270
"147" "V" 48.1678575305017 14433079
"148" "V" 48.6837938122392 14505429
"149" "V" 49.2024522324873 14599151
"150" "V" 49.7211240218616 14617251
"151" "V" 50 14726267
"1" "X" 0 15054
"2" "X" 0.171064950467301 1466412
"3" "X" 1.17365866807831 2357378
"4" "X" 1.49477012569786 3333436
"5" "X" 1.81932707704266 4797787
"6" "X" 2.14388383216978 4824808
"7" "X" 2.46844058730807 5019368
"8" "X" 2.79299734244637 5209118
"9" "X" 3.11755409757913 5641494
"10" "X" 3.44211094971967 5913289
"11" "X" 3.76496459051249 6208476
"12" "X" 4.42300737745349 6452954
"13" "X" 5.08105016439449 6661405
"14" "X" 5.40390380518731 6741759
"15" "X" 5.72846065732788 7051453
"16" "X" 6.05301741198102 7170406
"17" "X" 6.37758258704295 7196279
"18" "X" 6.70211310854184 7354698
"19" "X" 6.70211313839779 7557069
"20" "X" 7.02664365989674 7571558
"21" "X" 7.35120883495861 7848679
"22" "X" 7.6757655896173 8409529
"23" "X" 8.0003223447556 8630964
"24" "X" 8.32487909989389 8757266
"25" "X" 8.64943585503225 8802189
"26" "X" 8.97399260969088 9023277
"27" "X" 9.29855778475281 9402875
"28" "X" 9.6230883062517 9974247
"29" "X" 9.62308833610765 10096884
"30" "X" 9.9476188576066 10815511
"31" "X" 10.2721840326685 11355482
"32" "X" 10.5967407873272 11487145
"33" "X" 10.9212975424655 11544290
"34" "X" 11.2458542971355 11726628
"35" "X" 11.5704192731834 14068314
"36" "X" 11.8949889995766 14497961
"37" "X" 11.8949890294326 15329615
"38" "X" 12.219549210205 16583168
"39" "X" 12.2195492400609 16725205
"40" "X" 12.5440798024403 16751179
"41" "X" 12.868644977495 16979421
"42" "X" 13.1932018184032 17233617
"43" "X" 13.516244269192 17370558
"44" "X" 14.1388131154643 17502877
"45" "X" 14.4620316210015 17701618
"46" "X" 14.7502370047637 17767212
"47" "X" 15.0749784749218 18044384
"48" "X" 15.3995352195361 18184256
"49" "X" 15.7240919747177 18374675
"50" "X" 16.0486487210497 18938960
"51" "X" 16.3732054762327 19303833
"52" "X" 16.697762231371 19438977
"53" "X" 17.0223189864083 19545913
"54" "X" 17.3468775157396 19600412
"55" "X" 17.6710851140586 19800434
"56" "X" 17.9956435603652 20068975
"57" "X" 18.3202020066719 20100747
"58" "X" 18.6444096049909 20227689
"59" "X" 18.9689681343222 20586034
"60" "X" 19.2935248893594 20639963
"61" "X" 19.6180816444977 20727505
"62" "X" 19.9426383996305 20854707
"63" "X" 20.2671952517825 20892198
"64" "X" 20.5900486919772 21263617
"65" "X" 21.2498144575111 21349795
"66" "X" 21.5726678977058 21411628
"67" "X" 21.8972247498577 21461176
"68" "X" 22.2217815049906 21942768
"69" "X" 22.5463382601288 22064933
"70" "X" 22.8708950152671 22368577
"71" "X" 23.1954517704054 22399350
"72" "X" 23.5200085255382 22634020
"73" "X" 23.8445653776898 22855596
"74" "X" 24.167418816915 22939972
"75" "X" 24.8271931398514 23188506
"76" "X" 25 23834644
